Date,High,Low,Open,Close,Volume,Adj Close
2000-12-08,1380.32995605,1343.55004883,1343.55004883,1369.89001465,1358300000,1369.89001465
2000-12-11,1389.05004883,1364.14001465,1369.89001465,1380.19995117,1202400000,1380.19995117
2000-12-12,1380.27001953,1370.27001953,1380.19995117,1371.18005371,1083400000,1371.18005371
2000-12-13,1385.81994629,1358.47998047,1371.18005371,1359.98999023,1195100000,1359.98999023
2000-12-14,1359.98999023,1340.47998047,1359.98999023,1340.93005371,1061300000,1340.93005371
2000-12-15,1340.93005371,1305.38000488,1340.93005371,1312.15002441,1561100000,1312.15002441
2000-12-18,1332.31994629,1312.15002441,1312.15002441,1322.73999023,1189900000,1322.73999023
2000-12-19,1346.43994141,1305.19995117,1322.95996094,1305.59997559,1324900000,1305.59997559
2000-12-20,1305.59997559,1261.16003418,1305.59997559,1264.73999023,1421600000,1264.73999023
2000-12-21,1285.31005859,1254.06994629,1264.73999023,1274.85998535,1449900000,1274.85998535
2000-12-22,1305.9699707,1274.85998535,1274.85998535,1305.94995117,1087100000,1305.94995117
2000-12-26,1315.93994141,1301.64001465,1305.9699707,1315.18994141,806500000,1315.18994141
2000-12-27,1332.0300293,1310.95996094,1315.18994141,1328.92004395,1092700000,1328.92004395
2000-12-28,1335.93005371,1325.7800293,1328.92004395,1334.2199707,1015300000,1334.2199707
2000-12-29,1340.09997559,1317.51000977,1334.2199707,1320.2800293,1035500000,1320.2800293
2001-01-02,1320.2800293,1276.05004883,1320.2800293,1283.27001953,1129400000,1283.27001953
2001-01-03,1347.76000977,1274.61999512,1283.27001953,1347.56005859,1880700000,1347.56005859
2001-01-04,1350.23999023,1329.14001465,1347.56005859,1333.33996582,2131000000,1333.33996582
2001-01-05,1334.77001953,1294.94995117,1333.33996582,1298.34997559,1430800000,1298.34997559
2001-01-08,1298.34997559,1276.29003906,1298.34997559,1295.85998535,1115500000,1295.85998535
2001-01-09,1311.7199707,1295.14001465,1295.85998535,1300.80004883,1191300000,1300.80004883
2001-01-10,1313.76000977,1287.2800293,1300.80004883,1313.27001953,1296500000,1313.27001953
2001-01-11,1332.18994141,1309.7199707,1313.27001953,1326.81994629,1411200000,1326.81994629
2001-01-12,1333.20996094,1311.58996582,1326.81994629,1318.55004883,1276000000,1318.55004883
2001-01-16,1327.81005859,1313.32995605,1318.31994629,1326.65002441,1205700000,1326.65002441
2001-01-17,1346.92004395,1325.41003418,1326.65002441,1329.4699707,1349100000,1329.4699707
2001-01-18,1352.70996094,1327.41003418,1329.89001465,1347.9699707,1445000000,1347.9699707
2001-01-19,1354.55004883,1336.73999023,1347.9699707,1342.54003906,1407800000,1342.54003906
2001-01-22,1353.61999512,1333.83996582,1342.54003906,1342.90002441,1164000000,1342.90002441
2001-01-23,1362.90002441,1339.63000488,1342.90002441,1360.40002441,1232600000,1360.40002441
2001-01-24,1369.75,1357.2800293,1360.40002441,1364.30004883,1309000000,1364.30004883
2001-01-25,1367.34997559,1354.63000488,1364.30004883,1357.51000977,1258000000,1357.51000977
2001-01-26,1357.51000977,1342.75,1357.51000977,1354.94995117,1098000000,1354.94995117
2001-01-29,1365.54003906,1350.35998535,1354.92004395,1364.17004395,1053100000,1364.17004395
2001-01-30,1375.68005371,1356.19995117,1364.17004395,1373.72998047,1149800000,1373.72998047
2001-01-31,1383.36999512,1364.66003418,1373.72998047,1366.01000977,1295300000,1366.01000977
2001-02-01,1373.5,1359.33996582,1366.01000977,1373.4699707,1118800000,1373.4699707
2001-02-02,1376.38000488,1348.7199707,1373.4699707,1349.4699707,1048400000,1349.4699707
